127.0.0.1 - - [16/Jun/2023:14:03:05 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/login HTTP/1.1" 200 7383
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/css/animations.css HTTP/1.1" 200 18817
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/images/%EB%A1%9C%EA%B7%B8%EC%9D%B82.png HTTP/1.1" 200 38869
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:24 +0900] "GET /ourmine/login HTTP/1.1" 200 7383
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "POST /ourmine/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/index/adminIndex HTTP/1.1" 200 29918
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/adminIndex.js HTTP/1.1" 200 7726
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:32 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
