127.0.0.1 - - [03/Jun/2023:15:28:25 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/ HTTP/1.1" 200 5000
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/images/no-data.svg HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:35 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:38 +0900] "GET /ourmine/login HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/resources/images/login-img.svg HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:39 +0900] "GET /ourmine/login HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:41 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:41 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "POST /ourmine/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/ HTTP/1.1" 200 17775
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7764
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/sm/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/xs/avatar3.jpg HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/xs/avatar5.jpg HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/no-data.svg HTTP/1.1" 200 11964
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:28:51 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "POST /ourmine/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/login?logout HTTP/1.1" 200 7330
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/resources/images/login-img.svg HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [03/Jun/2023:15:29:44 +0900] "GET /ourmine/login?logout HTTP/1.1" 200 7330
