0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/company/1/project/1/projectTodoList/projectWorkList HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:36 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:37 +0900] "GET /ourmine/company/1/project/1/projectTodoList/todoList?projectWorkId=142 HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:46 +0900] "POST /ourmine/company/1/project/1/projectTodoList/projectTodoListDelete HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:46 +0900] "GET /ourmine/company/1/project/1/projectTodoList/todoList?projectWorkId=142 HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [27/May/2023:09:14:28 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [27/May/2023:09:14:28 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:14:28 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [27/May/2023:09:14:28 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:14:28 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
