127.0.0.1 - - [07/Jun/2023:08:26:38 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/company/1/project/projectList HTTP/1.1" 200 86250
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/aws/echo HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/company/1/project/projectMemberJson HTTP/1.1" 200 6578
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/company/1/project/projectListJson HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:06 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:07 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/dashBoard HTTP/1.1" 200 64094
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/aws/echo HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/boardType/boardTypeList HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/dashBoard/projectData?projectId=4 HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/dashBoard/workData?projectId=4 HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/dashBoard/issueData?projectId=4 HTTP/1.1" 200 6876
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/company/1/project/4/dashBoard/workMemberData?projectId=4 HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/images/xs/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:08 +0900] "POST /ourmine/company/1/project/4/dashBoard/dashBoardJson HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:09 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:20 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/boardCoNotice/boardCoNoticList HTTP/1.1" 200 65576
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/aws/echo HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/boardCoNotice/boardCoNoticListJson HTTP/1.1" 200 15347
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:21 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:22 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/noticeBoard/noticeBoardList HTTP/1.1" 200 66652
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7768
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 2639
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/hr.js HTTP/1.1" 200 5684
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/aws/echo HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:23 +0900] "GET /ourmine/noticeBoard/noticeBoardListJson HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:24 +0900] "GET /ourmine/alarm/alarmList HTTP/1.1" 200 11141
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/boardCoNotice/boardCoNoticList HTTP/1.1" 200 65576
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [07/Jun/2023:08:27:25 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
